Name;RESEX;Entorno;Comunidade;Comunidade_T;Camera;Patrimôni;SD;Dist_comun;Altura;Instalacao;Retirada;N_fotos;Bat_in;Bat_fim;Instalador;Observaça;Vegetacao;Modelo;Transeccao;Cadeado;Problemas;Problem1_from;Problem1_to;distancia_RESEX;Distância_hidrografia;Distância_comunidade;Residências_500m;Residências_2.5km;Residências_5km;Residências_10km;Somatória_densidade;Distância_acesso_cidade
ALE-T1-C1-288;RRL;Não;Alegria;Alegria_T1;1;B160614242;RCI15;288;45;18/09/2018;08/11/2018;357;100;66;RS/Elzo/Li;;Mata primária;E2;T1;Amarelo 636;Datas desconfiguradas 10/10/2018;;;541.8;152.8;280.3;5;16;26;78;0.271;5718.7
ALE-T1-C2-850;RRL;Não;Alegria;Alegria_T1;2;B171014776;CENAP06;810;40;18/09/2018;08/11/2018;147;100;66;RS/Elzo/Li;;Mata primária;E3;T1;Vermelho 402;;;;179.7;168.1;810.1;1;13;22;75;0.271;6186.0
ALE-T1-C3-2550;RRL;Não;Alegria;Alegria_T1;3;B160314398;RCI32;2550;45;18/09/2018;08/11/2018;247;100;100;RS/Elzo/Li;;Mata primária;E2;T1;Verde 918;;;;92.7;47.5;2551.1;0;2;16;51;0.271;8068.2
ALE-T1-C4-4800;RRL;Não;Alegria;Alegria_T1;4;B140618451;RCI23;4800;45;18/09/2018;08/11/2018;344;100;66;RS/Elzo/Li;;Mata primária;HD preta;T1;Amarelo 320;;;;450.0;11.0;4814.3;0;0;4;37;0.271;10251.8
ALE-T1-C5-5900;RRL;Não;Alegria;Alegria_T1;5;B171014817;CENAP15;5900;40;18/09/2018;08/11/2018;126;66;66;RS/Elzo/Li;;Mata primária;E3;T1;Branco 214;Parece que acabou a pilha;04/11/2018;08/11/2018;218.2;59.0;5934.9;0;0;0;29;0.271;11382.8
ALE-T2-C1-850;RRL;Não;Alegria;Alegria_T2;1;B160316607;RCI26;850;40;19/09/2018;09/11/2018;126;66;66;RS/Elzo/Be;;Mata primária;E2;T2;Vermelho 479;;;;701.2;308.5;874.4;0;21;37;143;0.271;772.5
ALE-T2-C2-1500;RRL;Não;Alegria;Alegria_T2;2;B171015262;CENAP78;1500;35;19/09/2018;09/11/2018;156;66;66;RS/Elzo/Be;;Mata primária;E3;T2;Amarelo 938;;;;233.2;84.1;1546.1;3;21;35;128;0.271;1240.8
ALE-T2-C3-2800;RRL;Não;Alegria;Alegria_T2;3;B160313856;RS02;2800;45;19/09/2018;09/11/2018;219;100;100;RS/Elzo/Be;;Mata primária;HD;T2;Azul 127;;;;366.6;0.9;2870.5;0;10;37;85;0.271;2550.8
ALE-T2-C4-4200;RRL;Não;Alegria;Alegria_T2;4;B171015025;CENAP70;4200;45;19/09/2018;09/11/2018;114;100;66;RS/Elzo/Be;;Mata primária;E3;T2;Azul 578;;;;134.6;275.5;4227.1;0;4;32;57;0.271;3839.2
ALE-T2-C5-6180;RRL;Não;Alegria;Alegria_T2;5;B160530750;RCI19;6180;45;19/09/2018;09/11/2018;375;100;66;RS/Elzo/Be;;Mata primária;E2;T2;Dourado 408;;;;490.2;24.7;6254.2;0;0;6;63;0.271;5715.9
