camera_id;Distancia;Casas_1km
1012;3347.499376;26
1012;2156.054569;25
1013;3850.822459;9
1013;2369.878632;25
1014;4204.246234;9
1014;3622.670948;25
1015;6142.371244;9
1015;6188.24816;25
1021;7704.083732;9
1021;9335.630584;25
1022;7415.299129;9
1022;9039.346156;25
1023;6716.651549;9
1023;8349.644696;25
1024;4754.449419;9
1024;6416.875807;25
1025;2958.687004;9
1025;4895.669752;25
1031;6674.247975;19
1031;1892.1571;26
1032;6940.117332;19
1032;2188.014349;26
1033;7461.189068;19
1033;2816.777797;26
1034;9145.099248;19
1034;4765.097494;26
1035;7675.826663;26
1035;11618.19338;26
1041;6012.592715;19
1041;2798.657611;26
1042;6036.821243;19
1042;3078.082113;26
1043;5873.62711;19
1043;3517.711914;26
1044;6743.171268;19
1044;5486.361003;26
1045;8770.409033;19
1045;8454.781861;26
1051;1052.387491;4
1051;7917.735156;12
1052;1344.889851;4
1052;8117.447931;12
1053;1874.997485;4
1053;8418.061179;12
1054;3809.747715;4
1054;9719.828636;12
1061;1435.709882;30
1061;13353.30822;19
1062;1658.55562;30
1062;13258.36531;19
1063;2274.423494;30
1063;13115.31184;19
1064;3561.508764;30
1064;13596.93065;19
1065;3734.685277;30
1065;14160.35121;19
2011;11295.74104;4
2011;4542.68674;2
2012;11601.85644;4
2012;4770.723454;2
2013;12192.68433;4
2013;5210.604072;2
2014;14221.02681;4
2014;6875.730176;2
2015;16694.34701;4
2015;9122.158869;2
2021;8888.362208;4
2021;11303.10382;2
2022;9158.613697;4
2022;11556.8443;2
2023;9907.00001;4
2023;12242.14752;2
2024;11775.35845;4
2024;13478.30508;2
2031;3224.611165;40
2031;1205.904753;29
2032;2946.480601;40
2032;1467.953278;29
2033;2898.393755;40
2033;2103.921296;29
2034;3395.469661;40
2034;3976.116193;29
2035;7015.041083;40
2035;6525.951839;29
2041;2048.70244;40
2041;2878.046573;29
2042;2043.177185;40
2042;3123.235165;29
2043;2279.493564;40
2043;3706.077693;29
2044;3794.769426;40
2044;5445.422177;29
2051;1778.839071;40
2051;3134.175158;52
2052;1838.722254;40
2052;3403.850244;52
2053;2291.577653;40
2053;3842.132857;52
2054;3952.356594;40
2054;5489.269827;52
2055;6585.209039;40
2055;8060.019845;96
2061;2617.386271;96
2061;5475.440301;52
2062;2795.486374;96
2062;5429.017201;52
2063;3197.179375;96
2063;5350.952394;52
2064;6741.367763;40
2064;5387.80412;96
2065;8443.135351;40
2065;8437.104964;96
2071;2273.958064;96
2071;6146.676481;52
2072;2409.70603;96
2072;6261.637321;52
2073;2860.794097;96
2073;6627.41125;52
2074;4628.052887;96
2074;7156.814747;11
2081;10247.84449;11
2081;1111.655553;7
2082;10446.25545;11
2082;1387.796629;7
2083;11046.99659;11
2083;1976.050386;7
2084;12859.47747;4
2084;4045.101943;7
2091;4623.960188;11
2091;8144.635707;7
2092;4839.856936;11
2092;7899.091409;7
2093;5459.389838;11
2093;7639.342723;7
2094;7336.55327;11
2094;7061.838823;7
2095;9710.246121;11
2095;7586.155927;7
2101;2499.111358;19
2101;5773.971859;26
2102;2713.952301;19
2102;5860.747948;26
3011;1243.340376;4
3011;7300.587171;22
3012;1452.151851;4
3012;7493.015637;22
3013;2025.071096;4
3013;7975.95246;22
3014;3928.380343;4
3014;9575.156135;22
3015;6917.766081;4
3015;12384.06751;22
3021;1341.803683;22
3021;4604.157966;9
3022;1617.363167;22
3022;4860.181649;9
3023;2233.754799;22
3023;5465.562486;9
3024;5703.420681;4
3024;4232.377628;22
3025;7306.135612;4
3025;7274.096697;22
3031;3568.940958;22
3031;1250.993586;9
3032;3833.096849;22
3032;1484.122263;9
3033;4329.920474;22
3033;2219.1773;9
3034;6202.263696;22
3034;4194.975422;9
3035;8955.938195;22
3035;7111.919584;9
3041;1641.885697;2
3041;3309.149481;4
3042;1933.223675;2
3042;3426.546471;4
3043;2555.149598;2
3043;3668.948298;4
3044;4626.951398;2
3044;5198.414472;4
3045;7611.65034;2
3045;7764.317712;4
3051;5442.226953;29
3051;5714.382653;9
3052;5748.961288;29
3052;5990.644543;9
3053;6404.342023;29
3053;6568.943759;9
3054;8427.729658;29
3054;8529.986527;9
3055;11362.71815;29
3055;11374.81575;9
3061;4344.780569;3
3061;5964.316232;3
3062;4433.407043;3
3062;6274.296371;3
3063;5308.145224;3
3063;6080.545317;3
3064;7241.272564;3
3064;6375.195841;3
3065;9456.291854;9
3065;7323.735896;3
3071;3724.992675;8
3071;4330.381284;5
3072;4037.860515;8
3072;4617.31131;5
3073;4647.520039;8
3073;5155.748644;5
3074;6665.807904;8
3074;7034.571489;5
3075;9619.984947;8
3075;9792.566911;5
3081;799.4026535;7
3081;3605.910175;3
3082;1103.158399;7
3082;3437.71971;3
3083;1799.150524;7
3083;3277.03201;3
3084;3735.293748;7
3084;2941.949971;3
3085;5306.316576;4
3085;4483.257311;3
3091;7077.321491;13
3091;4890.642284;9
3092;7280.756153;13
3092;5205.989131;9
3093;7866.532986;13
3093;5992.665357;9
3094;10238.04698;13
3094;8320.318091;9
4011;1633.708796;9
4011;3957.627364;2
4012;1951.957316;9
4012;4220.178396;2
4013;2566.6159;9
4013;4826.596406;2
4014;4552.225411;9
4014;6856.902032;2
4015;7525.506059;9
4015;9837.23123;2
4022;4640.944032;1
4022;9782.016779;10
4023;5279.85495;1
4023;10469.51931;10
4024;7439.083103;1
4024;12409.06441;10
4031;7444.640881;9
4031;8313.891384;2
4032;7735.543011;9
4032;8564.156833;2
4033;8353.149108;9
4033;8922.459023;2
4034;10304.77732;9
4034;9225.796277;2
4035;13166.74101;9
4035;10383.99923;2
4041;350.192913;17
4041;3554.85204;2
4042;592.6895899;17
4042;3385.530216;2
4043;1278.810556;17
4043;3261.266499;2
4044;3261.34645;17
4044;4155.189914;2
4045;5319.733845;2
4045;4172.184925;2
4051;4670.802855;19
4051;8367.597696;33
4053;5421.364619;19
4053;9019.864504;33
4054;7351.910091;19
4054;9126.062239;23
5011;6237.685052;2
5011;9481.821974;3
5012;6441.734841;2
5012;9721.538202;3
5013;6521.758263;2
5013;10341.19752;4
5014;7904.321519;2
5014;12207.58292;4
5015;15065.09062;7
5015;10377.94762;2
5021;1118.166536;2
5021;6607.956033;4
5022;1389.415065;2
5022;6882.735911;4
5023;2079.177495;2
5023;7578.055235;4
5024;4072.762978;2
5024;9567.383918;4
5025;6461.967099;2
5025;11930.24672;4
5031;14070.45613;17
5031;13399.8589;1
5032;14115.0564;17
5032;13641.62021;1
5033;13470.87023;17
5033;13608.34209;1
5034;12722.80275;17
5034;14153.66359;1
5035;11886.06727;17
5035;12845.88478;2
5041;10075.57433;9
5041;11926.13386;25
5042;9827.897042;9
5042;11691.49151;25
5043;9545.926042;9
5043;11447.93914;25
5044;8918.001701;9
5044;10904.10622;25
5045;7660.784238;9
5045;9631.015962;25
5052;3495.449925;11
5052;10400.73777;7
5053;4144.810834;11
5053;10858.06091;7
5054;11565.73841;96
5054;5598.351975;11
5055;12240.71747;96
5055;7697.046531;11
5061;1878.446373;96
5061;5450.288851;52
5062;2149.214478;96
5062;5744.842946;52
5063;2795.26003;96
5063;6398.457295;52
5064;4756.77027;96
5064;8306.875762;52
5065;7756.287713;96
5065;11354.56463;52
5072;2067.862496;40
5072;5467.477584;29
5073;2696.748517;40
5073;5813.917437;29
5074;4753.616369;40
5074;7686.945647;29
5075;7705.215711;40
5075;10492.29718;29
5081;7442.94459;10
5081;6641.029288;29
5082;7695.736288;10
5082;6555.181123;29
5083;8355.565087;10
5083;6508.696163;29
5084;9149.89429;40
5084;6897.737279;29
5085;10607.41635;40
5085;9431.589124;29
5091;10565.69597;4
5091;5783.037741;2
5092;10791.63604;4
5092;6076.516559;2
5093;11344.27115;4
5093;6716.119007;2
5094;13409.68157;4
5094;8143.342421;2
5095;16449.00003;4
5095;10506.88864;2
5101;3679.950193;2
5101;2212.003236;4
5102;3779.949601;2
5102;2478.634246;4
5103;4381.238176;2
5103;3134.051692;4
5104;6316.114663;2
5104;5112.559696;4
6011;1561.96139;29
6011;1898.336512;9
6013;1743.932895;29
6013;1440.311012;9
6021;75.62353202;1
6021;4194.916281;2
6022;367.6291034;1
6022;4206.163423;2
6023;1008.221492;1
6023;4738.177483;2
6031;772.1172209;26
6031;3711.050861;25
6032;1059.827574;26
6032;3535.814226;25
6033;1742.139161;26
6033;2537.204306;25
6034;2811.59905;26
6034;2115.219222;25
6041;10103.72022;1
6041;501.901586;23
7011;1582.341942;80
7011;3162.681608;13
7012;1826.587535;80
