camera_id;RESEX;Entorno;Comunidade;RASTERVALU
GRA-T3-C1-2100;Cazumbá-iracema;não;Granja;15.25
GRA-T2-C6-5600;Cazumbá-iracema;não;Granja;5.699999809
GRA-T3-C3-3100;Cazumbá-iracema;não;Granja;13.47999954
GRA-T3-C2-980;Cazumbá-iracema;não;Granja;23.94000053
GRA-T3-C5-4330;Cazumbá-iracema;não;Granja;11.56999969
GRA-T3-C4-4100;Cazumbá-iracema;não;Granja;12.5
C3-T2-C1-200;Cazumbá-iracema;sim;Repouso;24.78000069
RED-T3-C2-1700;Cazumbá-iracema;não;Redenção;11.59000015
RED-T3-C3-2500;Cazumbá-iracema;não;Redenção;22.07999992
RED-T1-C2-1500;Cazumbá-iracema;não;Redenção;5.670000076
RED-T1-C3-2550;Cazumbá-iracema;não;Redenção;0
RED-T2-C2-2100;Cazumbá-iracema;não;Redenção;14.60999966
RED-T1-C1-750;Cazumbá-iracema;não;Redenção;0
RED-T1-C5-6050;Cazumbá-iracema;não;Redenção;17
RED-T2-C1-1550;Cazumbá-iracema;não;Redenção;7.210000038
CUI-T3-C2-2070;Cazumbá-iracema;não;Cuidado;0
CUI-T3-C1-1460;Cazumbá-iracema;não;Cuidado;0
CUI-T3-C4-4100;Cazumbá-iracema;não;Cuidado;3.25
CUI-T3-C3-3300;Cazumbá-iracema;não;Cuidado;3.25
CUI-T2-C6-7000;Cazumbá-iracema;não;Cuidado;27.39999962
CUI-T3-C5-5670;Cazumbá-iracema;não;Cuidado;10.53999996
GRA-T1-C2-1800;Cazumbá-iracema;não;Granja;0
GRA-T1-C1-1300;Cazumbá-iracema;não;Granja;0
GRA-T1-C4-4100;Cazumbá-iracema;não;Granja;26.84000015
GRA-T1-C3-2800;Cazumbá-iracema;não;Granja;0
GRA-T2-C1-2060;Cazumbá-iracema;não;Granja;13.56000042
GRA-T1-C5-6000;Cazumbá-iracema;não;Granja;39.86999893
GRA-T2-C3-4500;Cazumbá-iracema;não;Granja;0
GRA-T2-C2-3600;Cazumbá-iracema;não;Granja;12.89000034
GRA-T2-C5-1300;Cazumbá-iracema;não;Granja;15.25
GRA-T2-C4-6000;Cazumbá-iracema;não;Granja;0
CAZ-T2-C5-6500;Cazumbá-iracema;não;Cazumbá;17.84000015
CAZ-T2-C4-4060;Cazumbá-iracema;não;Cazumbá;12.18000031
CAZ-T3-C2-2100;Cazumbá-iracema;não;Cazumbá;29.55999947
CAZ-T3-C1-1500;Cazumbá-iracema;não;Cazumbá;11.60000038
CAZ-T3-C4-4700;Cazumbá-iracema;não;Cazumbá;19.10000038
CAZ-T3-C3-3050;Cazumbá-iracema;não;Cazumbá;32.38999939
CUI-T1-C2-950;Cazumbá-iracema;não;Cuidado;27.52000046
CUI-T1-C1-500;Cazumbá-iracema;não;Cuidado;0
CUI-T1-C4-2670;Cazumbá-iracema;não;Cuidado;16.63999939
CUI-T1-C3-1500;Cazumbá-iracema;não;Cuidado;27.52000046
CUI-T2-C1.2-2700;Cazumbá-iracema;não;Cuidado;15.22000027
CUI-T1-C5-4100;Cazumbá-iracema;não;Cuidado;0
CUI-T2-C2-3500;Cazumbá-iracema;não;Cuidado;35.99000168
CUI-T2-C1-900;Cazumbá-iracema;não;Cuidado;0
CUI-T2-C4-6500;Cazumbá-iracema;não;Cuidado;27.39999962
CUI-T2-C3-4600;Cazumbá-iracema;não;Cuidado;32.13999939
C4-T1-C2-1700;Cazumbá-iracema;sim;Jair;19.30999947
C4-T1-C1-1100;Cazumbá-iracema;sim;Jair;19.30999947
C4-T1-C4-3850;Cazumbá-iracema;sim;Jair;7.03000021
C4-T1-C3-2550;Cazumbá-iracema;sim;Jair;14.75
C4-T2-C1-1970;Cazumbá-iracema;sim;Apuí;12.89000034
C4-T1-C5-6000;Cazumbá-iracema;sim;Jair;13.92000008
C4-T2-C3-3950;Cazumbá-iracema;sim;Apuí;39.06999969
C4-T2-C2-3100;Cazumbá-iracema;sim;Apuí;28.95000076
C4-T2-C5-6040;Cazumbá-iracema;sim;Apuí;18.14999962
C4-T2-C4-4950;Cazumbá-iracema;sim;Apuí;44.09000015
CAZ-T1-C2-680;Cazumbá-iracema;não;Cazumbá;6.570000172
CAZ-T1-C1-250;Cazumbá-iracema;não;Cazumbá;6.570000172
CAZ-T2-C1-450;Cazumbá-iracema;não;Cazumbá;8.5
CAZ-T1-C3-1320;Cazumbá-iracema;não;Cazumbá;0
CAZ-T2-C3-2700;Cazumbá-iracema;não;Cazumbá;21.21999931
CAZ-T2-C2-2000;Cazumbá-iracema;não;Cazumbá;8.029999733
C2-T3-C4-3800;Cazumbá-iracema;sim;Lua Nova;26.70999908
C2-T3-C3-2500;Cazumbá-iracema;sim;Lua Nova;23.62000084
C2-T4-C1-1050;Cazumbá-iracema;sim;Panela;16.28000069
