camera_id;RESEX;Comunidade;Dist.AP;Distancia
1012;RDA;BAUANA;10859.67658;10859.67658
1013;RDA;BAUANA;10800.38109;10800.38109
1014;RDA;BAUANA;10685.39423;10685.39423
1015;RDA;BAUANA;10765.0454;10765.0454
1021;RDA;Matura;20733.39666;20733.39666
1022;RDA;Matura;20768.87645;20768.87645
1023;RDA;Matura;20682.06037;20682.06037
1024;RDA;Matura;19371.19027;19371.19027
1025;RDA;Matura;17393.80922;17393.80922
1031;RDA;Bom Jesus Jurua;1835.490854;1835.490854
1032;RDA;Bom Jesus Jurua;1918.523582;1918.523582
1033;RDA;Bom Jesus Jurua;2021.634484;2021.634484
1034;RDA;Bom Jesus Jurua;2493.923231;2493.923231
1035;RDA;Bom Jesus Jurua;4214.245422;4214.245422
1041;RDA;Bom Jesus Jurua;304.3588178;304.3588178
1042;RDA;Bom Jesus Jurua;559.3132811;559.3132811
1043;RDA;Bom Jesus Jurua;1216.125526;1216.125526
1044;RDA;Bom Jesus Jurua;1059.286884;1059.286884
1045;RDA;Bom Jesus Jurua;1459.441947;1459.441947
1051;RDA;Novo Unaci;19433.01477;19433.01477
1052;RDA;Novo Unaci;19828.27683;19828.27683
1053;RDA;Novo Unaci;20474.71669;20474.71669
1054;RDA;Novo Unaci;22451.8328;22451.8328
1061;RDA;Sao Raimundo;26388.84591;26388.84591
1062;RDA;Sao Raimundo;26173.20892;26173.20892
1063;RDA;Sao Raimundo;25616.543;25616.543
1064;RDA;Sao Raimundo;24317.52499;24317.52499
1065;RDA;Sao Raimundo;24081.43052;24081.43052
2031;RDA;Z;1005.047886;1005.047886
2032;RDA;Z;1172.721969;1172.721969
2033;RDA;Z;805.6838279;805.6838279
2034;RDA;Z;1098.515254;1098.515254
2041;RDA;Z;1691.729189;1691.729189
2042;RDA;Z;1788.7132;1788.7132
2043;RDA;Z;1937.336282;1937.336282
2044;RDA;Z;1339.808094;1339.808094
2051;RDA;Pupuai;2615.749536;2615.749536
2052;RDA;Pupuai;2929.290351;2929.290351
