Camera.Trap.Name;Instalacao.1;Retirada.1;;;;;
1012;30/04/2013 15:02;30/05/2013 07:30;;;;;
1013;30/04/2013 10:05;30/05/2013 09:39;;;;;
1014;30/04/2013 11:34;30/05/2013 12:48;;;;;
1015;30/04/2013 13:06;30/05/2013 11:59;;;;;
1021;01/05/2013 09:17;31/05/2013 09:10;;;;;
1022;01/05/2013 09:55;31/05/2013 09:21;;;;;
1023;01/05/2013 10:29;31/05/2013 09:43;;;;;
1024;01/05/2013 12:13;31/05/2013 10:26;;;;;
1025;01/05/2013 14:50;31/05/2013 11:17;;;;;
1031;02/05/2013 12:35;01/06/2013 10:06;;;;;
1032;02/05/2013 13:17;01/06/2013 10:19;;;;;
1033;02/05/2013 14:00;01/06/2013 10:31;;;;;
1034;02/05/2013 14:56;01/06/2013 11:27;;;;;
1035;02/05/2013 16:40;01/06/2013 13:13;;;;;
1041;03/05/2013 09:25;02/06/2013 09:45;;;;;
1042;03/05/2013 09:50;02/06/2013 09:57;;;;;
1043;03/05/2013 10:26;02/06/2013 10:16;;;;;
1044;03/05/2013 11:27;02/06/2013 11:15;;;;;
1045;03/05/2013 13:32;02/06/2013 12:46;;;;;
1051;04/05/2013 09:12;04/06/2013 07:34;;;;;
1052;04/05/2013 14:32;04/06/2013 07:46;;;;;
1053;04/05/2013 10:21;04/06/2013 08:01;;;;;
1054;04/05/2013 11:47;04/06/2013 08:58;;;;;
1061;05/05/2013 08:52;05/06/2013 08:25;;;;;
1062;05/05/2013 09:31;05/06/2013 11:04;;;;;
1063;05/05/2013 10:01;05/06/2013 10:33;;;;;
1064;05/05/2013 12:50;05/06/2013 10:01;;;;;
1065;05/05/2013 12:00;05/06/2013 09:31;;;;;
2011;09/06/2013 10:27;09/07/2013 08:58;;;;;
2012;09/06/2013 10:57;09/07/2013 09:09;;;;;
2013;09/06/2013 11:44;09/07/2013 09:28;;;;;
2014;09/06/2013 13:40;09/07/2013 10:22;;;;;
2015;09/06/2013 15:47;09/07/2013 11:36;;;;;
2021;10/06/2013 09:40;11/07/2013 08:29;;;;;
2022;10/06/2013 10:13;11/07/2013 08:38;;;;;
2023;10/06/2013 11:02;11/07/2013 09:02;;;;;
2024;10/06/2013 12:53;11/07/2013 09:42;;;;;
2031;11/06/2013 11:28;12/07/2013 07:26;;;;;
2032;11/06/2013 11:48;01/07/2013 07:00;;;;;
2033;12/06/2013 08:14;12/07/2013 08:03;;;;;
2034;12/06/2013 09:56;05/07/2013 12:00;;;;;
2035;12/06/2013 12:48;11/07/2013 11:07;;;;;
2041;13/06/2013 08:10;13/07/2013 07:48;;;;;
2042;13/07/2013 12:33;15/08/2013 07:40;;;;;
2043;13/06/2013 09:06;15/08/2013 07:55;;;;;
2044;13/06/2013 10:08;13/07/2013 08:46;;;;;
2051;14/06/2013 08:42;14/07/2013 07:07;;;;;
2052;14/06/2013 09:08;14/07/2013 07:15;;;;;
2053;14/06/2013 09:39;14/07/2013 07:29;;;;;
2054;14/06/2013 10:39;28/06/2013 05:54;;;;;
2055;14/06/2013 13:06;14/07/2013 09:16;;;;;
2061;15/06/2013 08:08;15/07/2013 07:44;;;;;
2062;15/06/2013 08:27;15/07/2013 07:52;;;;;
2063;15/06/2013 09:03;15/07/2013 08:10;;;;;
2064;15/06/2013 09:59;15/07/2013 11:23;;;;;
2065;15/06/2013 11:47;15/07/2013 10:05;;;;;
2071;16/06/2013 08:23;10/07/2013 06:30;;;;;
2072;16/06/2013 08:51;16/07/2013 08:05;;;;;
2073;16/06/2013 09:32;16/07/2013 08:21;;;;;
2074;16/06/2013 10:43;16/07/2013 08:56;;;;;
2081;17/06/2013 10:24;17/07/2013 09:56;;;;;
2082;17/06/2013 10:52;17/07/2013 10:07;;;;;
2083;17/06/2013 11:20;17/07/2013 10:25;;;;;
2084;17/06/2013 12:46;17/07/2013 11:45;;;;;
2091;18/06/2013 09:14;08/07/2013 12:00;;;;;
2092;18/06/2013 09:38;19/07/2013 09:16;;;;;
2093;18/06/2013 10:14;17/07/2013 08:30;;;;;
2094;18/06/2013 11:28;19/07/2013 10:18;;;;;
2095;18/06/2013 13:49;19/07/2013 11:21;;;;;
2101;20/06/2013 10:38;30/06/2013 22:09;;;;;
2102;20/06/2013 10:27;20/07/2013 10:10;;;;;
3011;06/08/2013 08:11;05/09/2013 07:29;;;;;
3012;06/08/2013 08:33;05/09/2013 07:39;;;;;
3013;06/08/2013 08:57;05/09/2013 07:52;;;;;
3014;06/08/2013 09:43;05/09/2013 08:25;;;;;
3015;06/08/2013 10:52;05/09/2013 09:19;;;;;
3021;07/08/2013 08:01;06/09/2013 07:32;;;;;
3022;07/08/2013 08:25;06/09/2013 07:41;;;;;
3023;07/08/2013 08:58;06/09/2013 07:53;;;;;
3024;07/08/2013 10:16;06/09/2013 08:38;;;;;
3025;07/08/2013 12:13;06/09/2013 09:45;;;;;
3031;08/08/2013 10:59;07/09/2013 07:29;;;;;
3032;08/08/2013 11:24;06/09/2013 06:00;;;;;
3033;08/08/2013 12:01;07/09/2013 07:56;;;;;
3034;08/08/2013 12:49;07/09/2013 08:34;;;;;
3035;08/08/2013 14:33;07/09/2013 09:35;;;;;
3041;10/08/2013 09:28;09/09/2013 07:19;;;;;
3042;10/08/2013 09:54;09/09/2013 07:28;;;;;
3043;10/08/2013 10:31;09/09/2013 07:50;;;;;
3044;10/08/2013 11:56;09/09/2013 08:37;;;;;
3045;10/08/2013 14:38;09/09/2013 09:59;;;;;
3051;12/08/2013 08:13;27/08/2013 03:18;;;;;
3052;12/08/2013 08:39;11/09/2013 07:18;;;;;
3053;12/08/2013 09:51;11/09/2013 07:40;;;;;
3054;12/08/2013 12:18;11/09/2013 09:11;;;;;
3055;12/08/2013 14:41;11/09/2013 10:18;;;;;
3061;17/08/2013 08:01;16/09/2013 07:40;;;;;
3062;17/08/2013 08:23;16/09/2013 07:49;;;;;
3063;17/08/2013 11:44;16/09/2013 08:15;;;;;
3064;17/08/2013 13:03;16/09/2013 09:09;;;;;
3065;17/08/2013 14:58;16/09/2013 10:11;;;;;
3071;18/08/2013 09:50;17/09/2013 08:43;;;;;
3072;18/08/2013 10:18;17/09/2013 09:08;;;;;
3073;18/08/2013 10:49;17/09/2013 09:28;;;;;
3074;18/08/2013 12:18;17/09/2013 10:25;;;;;
3075;18/08/2013 14:44;17/09/2013 12:27;;;;;
3081;19/08/2013 07:58;18/09/2013 07:07;;;;;
3082;19/08/2013 08:22;18/09/2013 07:08;;;;;
3083;19/08/2013 08:51;18/09/2013 07:26;;;;;
3084;19/08/2013 14:01;18/09/2013 08:22;;;;;
3085;19/08/2013 12:32;18/09/2013 09:48;;;;;
3091;20/08/2013 08:51;19/09/2013 07:56;;;;;
3092;20/08/2013 09:14;19/09/2013 08:11;;;;;
3093;20/08/2013 09:53;19/09/2013 08:40;;;;;
3094;20/08/2013 11:40;19/09/2013 10:03;;;;;
4011;20/09/2013 11:01;21/11/2013 13:08;;;;;
4012;20/09/2013 16:48;21/11/2013 12:56;;;;;
4013;20/09/2013 16:38;21/11/2013 12:00;;;;;
4014;20/09/2013 12:42;21/11/2013 11:42;;;;;
4015;20/09/2013 14:37;21/11/2013 10:09;;;;;
4022;22/09/2013 09:49;22/10/2013 11:18;;;;;
