Camera.Trap.Name,data.hora.correta,Photo.time,bin
1012,5/2/13 02:05,02:05:07,Cuniculus paca
1012,5/2/13 02:05,02:05:08,Cuniculus paca
1012,5/2/13 02:05,02:05:08,Cuniculus paca
1012,5/2/13 02:05,02:05:14,Cuniculus paca
1012,5/2/13 02:05,02:05:15,Cuniculus paca
1012,5/2/13 02:05,02:05:16,Cuniculus paca
1012,5/10/13 01:15,01:15:35,Dasyspus spp
1012,5/10/13 01:15,01:15:35,Dasyspus spp
1012,5/10/13 01:15,01:15:36,Dasyspus spp
1012,5/11/13 10:46,10:46:00,Myrmecophaga tridactyla
1012,5/11/13 10:46,10:46:00,Myrmecophaga tridactyla
1012,5/11/13 10:46,10:46:00,Myrmecophaga tridactyla
1012,5/11/13 10:46,10:46:00,Myrmecophaga tridactyla
1012,5/11/13 10:46,10:46:00,Myrmecophaga tridactyla
1012,5/11/13 10:46,10:46:00,Myrmecophaga tridactyla
1012,5/21/13 11:17,11:17:55,Pecari tajacu
1012,5/21/13 11:17,11:17:56,Pecari tajacu
1012,5/21/13 11:17,11:17:56,Pecari tajacu
1012,5/21/13 11:18,11:18:00,Pecari tajacu
1012,5/21/13 11:18,11:18:01,Pecari tajacu
1012,5/21/13 11:18,11:18:02,Pecari tajacu
1031,5/4/13 23:20,23:20:38,Leopardus pardalis
1031,5/4/13 23:20,23:20:39,Leopardus pardalis
1031,5/4/13 23:20,23:20:40,Leopardus pardalis
1031,5/4/13 23:20,23:20:48,Leopardus pardalis
1031,5/4/13 23:20,23:20:49,Leopardus pardalis
1031,5/4/13 23:20,23:20:49,Leopardus pardalis
1031,5/5/13 21:00,21:00:06,Leopardus pardalis
1031,5/5/13 21:00,21:00:06,Leopardus pardalis
1031,5/5/13 21:00,21:00:07,Leopardus pardalis
1031,5/5/13 21:00,21:00:12,Leopardus pardalis
1031,5/5/13 21:00,21:00:13,Leopardus pardalis
1031,5/5/13 21:00,21:00:14,Leopardus pardalis
1031,5/12/13 01:56,01:56:10,Mazama americana
1031,5/12/13 01:56,01:56:11,Mazama americana
1031,5/12/13 01:56,01:56:12,Mazama americana
1031,5/12/13 01:56,01:56:17,Mazama americana
1031,5/12/13 01:56,01:56:18,Mazama americana
1031,5/12/13 01:56,01:56:18,Mazama americana
1031,5/12/13 05:43,05:43:22,Mazama americana
1031,5/12/13 05:43,05:43:23,Mazama americana
1031,5/12/13 05:43,05:43:24,Mazama americana
1031,5/12/13 05:43,05:43:38,Mazama americana
1031,5/12/13 05:43,05:43:38,Mazama americana
1031,5/12/13 05:43,05:43:39,Mazama americana
1031,5/20/13 17:24,17:24:33,Mazama americana
1031,5/20/13 17:24,17:24:33,Mazama americana
1031,5/20/13 17:24,17:24:34,Mazama americana
1031,5/20/13 17:24,17:24:39,Mazama americana
1031,5/20/13 17:24,17:24:40,Mazama americana
1031,5/20/13 17:24,17:24:40,Mazama americana
1031,5/20/13 17:24,17:24:50,Mazama americana
1031,5/20/13 17:24,17:24:51,Mazama americana
1031,5/20/13 17:24,17:24:52,Mazama americana
1031,5/25/13 17:45,17:45:34,Mazama americana
1031,5/25/13 17:45,17:45:35,Mazama americana
1031,5/25/13 17:45,17:45:35,Mazama americana
