camera_id;X;Y
GRA-T3-C1-2100;-7693053;-1014538
GRA-T2-C6-5600;-7692523;-1010942
GRA-T3-C3-3100;-7693599;-1013707
GRA-T3-C2-980;-7692893;-1015741
GRA-T3-C5-4330;-7693761;-1012456
GRA-T3-C4-4100;-7693847;-1012666
C3-T2-C1-200;-7674276;-1061694
RED-T3-C2-1700;-7683297;-1042303
RED-T3-C3-2500;-7682242;-1042077
RED-T1-C2-1500;-7685997;-1040561
RED-T1-C3-2550;-7686959;-1040078
RED-T2-C2-2100;-7686892;-1041210
RED-T1-C1-750;-7685192;-1040784
RED-T1-C5-6050;-7690664;-1039573
RED-T2-C1-1550;-7686263;-1041027
CUI-T3-C2-2070;-7684987;-1013928
CUI-T3-C1-1460;-7685018;-1014916
CUI-T3-C4-4100;-7686550;-1012575
CUI-T3-C3-3300;-7685849;-1012981
CUI-T2-C6-7000;-7685351;-1022486
CUI-T3-C5-5670;-7688332;-1012203
GRA-T1-C2-1800;-7692667;-1018401
GRA-T1-C1-1300;-7692568;-1017891
GRA-T1-C4-4100;-7693237;-1020671
GRA-T1-C3-2800;-7692761;-1019375
GRA-T2-C1-2060;-7692243;-1014546
GRA-T1-C5-6000;-7693101;-1022574
GRA-T2-C3-4500;-7691651;-1012125
GRA-T2-C2-3600;-7691622;-1013025
GRA-T2-C5-1300;-7692688;-1015319
GRA-T2-C4-6000;-7692753;-1010602
CAZ-T2-C5-6500;-7678476;-1019825
CAZ-T2-C4-4060;-7677176;-1017636
CAZ-T3-C2-2100;-7674789;-1015657
CAZ-T3-C1-1500;-7675199;-1015220
CAZ-T3-C4-4700;-7674112;-1018244
CAZ-T3-C3-3050;-7674723;-1016688
CUI-T1-C2-950;-7682648;-1016386
CUI-T1-C1-500;-7682921;-1015966
CUI-T1-C4-2670;-7681778;-1017457
CUI-T1-C3-1500;-7682384;-1016902
CUI-T2-C1.2-2700;-7684680;-1018120
CUI-T1-C5-4100;-7681389;-1018978
CUI-T2-C2-3500;-7684354;-1019092
CUI-T2-C1-900;-7684146;-1016350
CUI-T2-C4-6500;-7685129;-1021989
CUI-T2-C3-4600;-7684400;-1020175
C4-T1-C2-1700;-7679794;-1072282
C4-T1-C1-1100;-7679722;-1071750
C4-T1-C4-3850;-7679431;-1074483
C4-T1-C3-2550;-7679591;-1073141
C4-T2-C1-1970;-7681370;-1067837
C4-T1-C5-6000;-7679523;-1076610
C4-T2-C3-3950;-7683264;-1067107
C4-T2-C2-3100;-7682523;-1067482
C4-T2-C5-6040;-7685018;-1065926
C4-T2-C4-4950;-7684006;-1066372
CAZ-T1-C2-680;-7676385;-1013813
CAZ-T1-C1-250;-7675891;-1014104
CAZ-T2-C1-450;-7675726;-1014579
CAZ-T1-C3-1320;-7677036;-1013542
CAZ-T2-C3-2700;-7676334;-1016490
CAZ-T2-C2-2000;-7676117;-1015774
C2-T3-C4-3800;-7676517;-1050723
C2-T3-C3-2500;-7675105;-1051292
C2-T4-C1-1050;-7670771;-1049683
C2-T3-C5-5100;-7677808;-1050373
C2-T4-C3-2500;-7669334;-1049629
C2-T4-C2-1500;-7670439;-1049803
C2-T4-C5-6320;-7665814;-1052016
C2-T4-C4-4000;-7667809;-1050503
C3-T1-C2-1240;-7675992;-1060185
C3-T1-C1-830;-7675582;-1060682
C3-T1-C4-3440;-7678144;-1059600
C3-T1-C3-2400;-7677101;-1059880
C3-T2-C2-550;-7673908;-1062003
C3-T1-C5-6050;-7680174;-1057500
