camera_id;RESEX;Entorno;Comunidade;X;Y;ECO_NAME_m;Eco_reg;G200_REGIO;G200_REG_1
1012;RDA;não;BAUANA;-7488426.52;-603463.931;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1013;RDA;não;BAUANA;-7487918.83;-603865.098;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1014;RDA;não;BAUANA;-7486463.78;-605263.418;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1015;RDA;não;BAUANA;-7484206.81;-606896.981;Purus varzeá;PV;Amazon River and Flooded Forests;32
1021;RDA;não;Matura;-7496131.95;-612026.937;Purus varzeá;PV;Amazon River and Flooded Forests;32
1022;RDA;não;Matura;-7495964.69;-611778.51;Purus varzeá;PV;Amazon River and Flooded Forests;32
1023;RDA;não;Matura;-7495433.07;-611320.154;Purus varzeá;PV;Amazon River and Flooded Forests;32
1024;RDA;não;Matura;-7493960.03;-610010.167;Purus varzeá;PV;Amazon River and Flooded Forests;32
1025;RDA;não;Matura;-7491750.12;-609487.963;Purus varzeá;PV;Amazon River and Flooded Forests;32
1031;RDA;não;Bom Jesus Jurua;-7481922.9;-596959.789;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1032;RDA;não;Bom Jesus Jurua;-7481829.65;-597244.293;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1033;RDA;não;Bom Jesus Jurua;-7481488.93;-597810.203;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1034;RDA;não;Bom Jesus Jurua;-7480461.97;-599522.114;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1035;RDA;não;Bom Jesus Jurua;-7478643.71;-601894.07;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1041;RDA;não;Bom Jesus Jurua;-7479725.49;-596279.962;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1042;RDA;não;Bom Jesus Jurua;-7479400.4;-596234.716;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1043;RDA;não;Bom Jesus Jurua;-7478831.62;-595891.928;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1044;RDA;não;Bom Jesus Jurua;-7476806.44;-595785.964;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1045;RDA;não;Bom Jesus Jurua;-7473798.75;-595638.972;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1051;RMJ;não;Novo Unaci;-7507896.26;-588607.144;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1052;RMJ;não;Novo Unaci;-7508302.01;-588610.988;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1053;RMJ;não;Novo Unaci;-7508950.65;-588677.378;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1054;RMJ;não;Novo Unaci;-7510975.02;-588685.552;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1061;RMJ;não;Sao Raimundo;-7518249.03;-599062.401;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1062;RMJ;não;Sao Raimundo;-7518528.81;-599043.454;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1063;RMJ;não;Sao Raimundo;-7519196.75;-598931.527;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1064;RMJ;não;Sao Raimundo;-7520203.73;-598102.028;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
1065;RMJ;não;Sao Raimundo;-7520011.87;-597567.76;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
2011;RMJ;sim;H;-7437981.92;-561075.034;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
2012;RMJ;sim;H;-7437672.86;-561115.26;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
2013;RMJ;sim;H;-7437077.94;-561159.682;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
2014;RMJ;sim;H;-7435038.36;-561273.558;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
2015;RMJ;sim;H;-7432553.29;-561441.227;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
2021;RMJ;sim;G;-7443715.3;-568480.659;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
2022;RMJ;sim;G;-7443635.8;-568764.086;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
2023;RMJ;sim;G;-7443395.92;-569525.934;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
2024;RMJ;sim;G;-7442194.28;-570969.75;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
2031;RMJ;não;Z;-7472095.05;-559891.642;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
2032;RMJ;não;Z;-7472372.56;-559846.578;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
