camera_id;RESEX;Entorno;Comunidade;Flo_camera
GRA-T3-C2-980;Cazumbá-iracema;não;Granja;82984.00881
C3-T2-C1-200;Cazumbá-iracema;sim;Repouso;49105.37933
GRA-T2-C5-1300;Cazumbá-iracema;não;Granja;59353.9484
C3-T2-C2-550;Cazumbá-iracema;sim;Repouso;10696.47251
C1-T1-C1-330;Cazumbá-iracema;sim;Providência;30329.40725
C1-T3-C2-2000;Cazumbá-iracema;sim;Providência;69321.81793
C1-T3-C1-1370;Cazumbá-iracema;sim;Providência;68804.3472
C1-T3-C3-2450;Cazumbá-iracema;sim;Providência;383.7432824
SJE-T4-C1-450;Arapixi;não;Extrema;86631.52554
SAN-T1-C5-2000;Arapixi;sim;Santana;187466.7835
SAN-T1-C4-1700;Arapixi;sim;Santana;398643.2433
SAN-T1-C1-3500;Arapixi;sim;Santana;52147.64992
SAN-T1-C6-1900;Arapixi;sim;Santana;301742.2946
SJE-T2-C5-6070;Arapixi;não;Extrema;12084.84677
SJE-T3-C2-1900;Arapixi;não;Extrema;43468.13129
ROC-T2-C1-1150;Arapixi;sim;Rocha;207762.9982
ROC-T3-C1-500;Arapixi;não;V;58888.80803
ROC-T3-C2-1500;Arapixi;não;V;3112.739653
SAN-T1-C3-2500;Arapixi;sim;Santana;67820.98882
SAN-T1-C2-3000;Arapixi;sim;Santana;945.110842
NVA-T1-C1-500;Arapixi;não;T;88357.07215
NVA-T3-C1-2390;Arapixi;não;Nova Amélia;350047.7852
NVA-T3-C2-3050;Arapixi;não;Nova Amélia;124947.8704
MOI-T1-C2-1300;Arapixi;não;Moisés;144.032598
MOI-T1-C1-475;Arapixi;não;Moisés;332746.5228
ROC-T1-C4-4880;Arapixi;sim;Rocha;19488.4179
MAN-T1-C1-680;Arapixi;não;Manitiã;73042.27822
SFO-T2-C2-1550;Médio Purus;não;São Francisco;370.1944364
SFO-T2-C1-1000;Médio Purus;não;São Francisco;193170.025
LIM-T2-C1-1000;Médio Purus;não;Limeira;115023.3358
LIM-T2-C2-1500;Médio Purus;não;Limeira;96665.08575
POR-T2-C3-3800;Médio Purus;não;Porongaba;126063.1689
POR-T2-C4-4100;Médio Purus;não;Porongaba;175342.0701
BJS-T1-C6-6000;Médio Purus;sim;Bom Jesus;4447.401085
BJS-T1-C5-4800;Médio Purus;sim;Bom Jesus;449096.2676
BJS-T2-C2-1300;Médio Purus;sim;Bom Jesus;112697.3915
BJS-T2-C1-750;Médio Purus;sim;Bom Jesus;289076.0605
BJS-T2-C4-3600;Médio Purus;sim;Bom Jesus;261704.3528
BJS-T2-C3-2200;Médio Purus;sim;Bom Jesus;82038.97413
BJS-T2-C6-5800;Médio Purus;sim;Bom Jesus;316493.1545
BJS-T2-C5-4700;Médio Purus;sim;Bom Jesus;82673.72874
CAP-T1-C1-1000;Médio Purus;sim;Capacini;166343.165
CAP-T2-C2-500_2;Médio Purus;sim;Capacini;52358.72919
CAP-T2-C1-620_1;Médio Purus;sim;Capacini;218887.9377
REM-T2-C2-1850;Médio Purus;não;Remanso;383075.7058
REM-T2-C1-1150;Médio Purus;não;Remanso;375465.4509
REM-T2-C4-4000;Médio Purus;não;Remanso;398263.1936
REM-T2-C3-2700;Médio Purus;não;Remanso;466851.8758
REM-T2-C6-5900;Médio Purus;não;Remanso;260042.9798
REM-T2-C5-4950;Médio Purus;não;Remanso;368056.6626
SFO-T1-C1-500;Médio Purus;não;São Francisco;175739.0468
SFO-T1-C3-1600;Médio Purus;não;São Francisco;84504.40849
BJS-T1-C2-1700;Médio Purus;sim;Bom Jesus;192219.3327
BJS-T1-C1-1000;Médio Purus;sim;Bom Jesus;161556.6872
BJS-T1-C4-3800;Médio Purus;sim;Bom Jesus;166195.0085
BJS-T1-C3-2600;Médio Purus;sim;Bom Jesus;269094.911
POR-T1-C1-500;Médio Purus;não;Porongaba;110497.1488
REM-T1-C1-950;Médio Purus;não;Remanso;352145.8473
REM-T1-C3-2300;Médio Purus;não;Remanso;206742.0505
REM-T1-C2-1500;Médio Purus;não;Remanso;217597.17
REM-T1-C4-3750;Médio Purus;não;Remanso;111270.6822
MAL-T1-C1-600;Médio Purus;não;Maloca;24817.77097
MAL-T1-C4-3000;Médio Purus;não;Maloca;3044.444615
MAL-T2-C1-3300;Médio Purus;não;Maloca;488295.6572
MAL-T1-C5-3800;Médio Purus;não;Maloca;420549.7981
CAP-T3-C3-1700;Médio Purus;sim;Capacini;308351.3117
CAP-T3-C2-1000;Médio Purus;sim;Capacini;78583.76247
CAP-T3-C1-300;Médio Purus;sim;Capacini;347140.8451
CAP-T3-C5-3500;Médio Purus;sim;Capacini;175317.059
CAP-T3-C4-2000;Médio Purus;sim;Capacini;201243.9749
IND-T1-C6-5900;Médio Purus;não;Independência;487488.6878
IND-T1-C1-500;Médio Purus;não;Independência;363564.363
IND-T1-C3-1800;Médio Purus;não;Independência;210294.4839
IND-T1-C2-1000;Médio Purus;não;Independência;170322.6053
IND-T1-C5-4300;Médio Purus;não;Independência;67566.44735
IND-T1-C4-3250;Médio Purus;não;Independência;257110.2472
IUT-T1-C2-1000;Médio Purus;sim;Iutari;191191.578
IUT-T1-C1-480;Médio Purus;sim;Iutari;189087.6399
IUT-T1-C3-1750;Médio Purus;sim;Iutari;29600.81193
C2-T2-C1-2300;Riozinho_Liberdade;sim;São João_2;124989.2837
C3-T2-C1-450;Riozinho_Liberdade;sim;São José;206218.6594
C4-T3-C1-950;Riozinho_Liberdade;sim;São Luiz;18516.32314
C4-T2-C1-1600;Riozinho_Liberdade;sim;São Luiz_2;13416.32308
PER-T4-C1-1350;Riozinho_Liberdade;não;Periquito;25735.74001
PER-T3-C1-400;Riozinho_Liberdade;não;Periquito;27348.33922
PER-T2-C1-550;Riozinho_Liberdade;não;Periquito;123875.5372
1012;RDA;não;BAUANA;131570.6237
1021;RDA;não;Matura;6162.938782
1041;RDA;não;Bom Jesus Jurua;154242.4003
1042;RDA;não;Bom Jesus Jurua;38784.43601
1051;RDA;não;Novo Unaci;163327.6835
1052;RDA;não;Novo Unaci;16612.9579
1064;RDA;não;Sao Raimundo;176712.6324
1065;RDA;não;Sao Raimundo;182229.4622
2011;RDA;sim;H;201217.7587
2012;RDA;sim;H;55406.06467
2033;RDA;não;Z;6452.684935
2051;RDA;não;Pupuai;338873.943
2052;RDA;não;Pupuai;111025.3569
2074;RDA;não;ROQUE;39423.01742
2101;RDA;não;Imperatrix;404850.5134
2102;RDA;não;Imperatrix;563000.5629
3011;RDA;sim;Carauari Riozinho;59.52460085
3051;RDA;sim;I;87418.44008
3052;RDA;sim;I;86051.86899
3053;RDA;sim;I;6448.265894
3061;RDA;não;Bonfim;233333.2461
3062;RDA;não;Bonfim;251014.8203
3064;RDA;não;Bonfim;4531.418156
3065;RDA;não;Bonfim;388.8224885
3071;RDA;não;Xibauazinho;68560.835
3075;RDA;não;Xibauazinho;14319.90454
3081;RDA;não;Xibaua;15888.45733
3091;RDA;não;Carocal;231653.7204
3092;RDA;não;Carocal;57037.93719
3094;RDA;não;Carocal;191864.009
