Comunidade;Localidade;Região;area_km2
H;Entorno;RMJ;54.53055
G;Entorno;RMJ;53.89027
FORTUNA;Interior;RMJ;51.97832
F;Entorno;RMJ;51.30088
B;Interior;RDA;47.72569
X;Interior;RDA;44.70463
Carocal;Interior;RDA;39.09775
monte siao_1;Entorno;RDU;39.02562
P;Interior;RDU;35.97442
Bareira do ido;Interior;RDA;35.39695
Bonfim;Interior;RDA;35.20516
Xibaua;Interior;RDA;34.9498
D;Interior;RDA;34.87418
E;Interior;RMJ;34.79677
Xibauazinho;Interior;RDA;34.47975
Bom Jesus;Entorno;RMP;32.32832
Sao Raimundo;Interior;RMJ;31.40536
sao francisco_1;Interior;RDU;31.08425
Remanso;Interior;RMP;30.68707
Independência;Interior;RMP;30.59273
sao francisco_3;Entorno;RDU;30.51205
do arara;Interior;RDU;28.41347
I;Entorno;RMJ;26.29916
Iutari;Entorno;RMP;25.97225
Imperatrix;Interior;RMJ;25.49742
sao jao batista;Entorno;RDU;25.09067
C;Interior;RDA;24.90187
N;Interior;RDU;23.90243
nossa sra de fatima;Interior;RDU;23.84747
Sao Jose (Anaxiqui);Interior;RDA;23.8128
livramento;Interior;RDU;23.72288
Limeira;Interior;RMP;23.49874
Z;Interior;RMJ;23.48758
sta lucia jacarequar;Interior;RDU;22.90343
6041;Interior;RDA;22.7982
São Francisco;Interior;RMP;22.73245
ROQUE;Interior;RMJ;22.64615
Maloca;Interior;RMP;22.5757
Matura;Interior;RDA;21.22076
BAUANA;Interior;RDA;21.22076
serra do bacabal;Entorno;RDU;19.38536
Porongaba;Interior;RMP;18.86838
Capacini;Entorno;RMP;17.14252
Novo Unaci;Interior;RMJ;16.17329
flechal;Interior;RDU;16.08156
R;Interior;RDU;15.56743
O;Interior;RDU;15.41946
tucumaiduba;Interior;RDU;14.86539
Pupuai;Interior;RMJ;14.20554
Z;Interior;RMJ;14.20554
Imperatrix;Interior;RMJ;13.7449
Bom Jesus Jurua;Interior;RDA;13.7449
Bom Jesus Jurua;Interior;RDA;13.57487
BAUANA;Interior;RDA;12.45473
sao francisco_2;Entorno;RDU;11.13962
ig do raimundo;Entorno;RDU;11.13962
sta lucia jacarequar;Interior;RDU;10.44334
O;Interior;RDU;10.44334
Santana;Entorno;REA;10.04746
Lago do Alfredo;Entorno;REA;9.78468
Xibauazinho;Interior;RDA;9.75791
Bonfim;Interior;RDA;9.75791
Carauari pe da terra;Entorno;RMJ;9.16624
Sororoca;Interior;RDA;8.96775
livramento;Interior;RDU;8.72353
sta lucia jacarequar;Interior;RDU;8.72353
Q;Entorno;RDU;8.20536
D;Interior;RDA;8.10332
X;Interior;RDA;8.10332
Matura;Interior;RDA;8.07769
