camera_id;RESEX;Entorno;Comunidade;Comprimento
1012;RDA;não;BAUANA;801.2905646
1015;RDA;não;BAUANA;209.0512569
1024;RDA;não;Matura;1582.434945
1041;RDA;não;Bom Jesus Jurua;1413.523561
1042;RDA;não;Bom Jesus Jurua;735.5178765
1051;RDA;não;Novo Unaci;266.9578452
2014;RDA;sim;H;867.7195199
2015;RDA;sim;H;683.6726675
2021;RDA;sim;G;1409.656405
2022;RDA;sim;G;1320.159541
2023;RDA;sim;G;663.4181281
2024;RDA;sim;G;943.2942654
2055;RDA;não;Pupuai;271.5509868
2061;RDA;não;ROQUE;702.4481546
2062;RDA;não;ROQUE;980.3451548
2063;RDA;não;ROQUE;852.9263639
2065;RDA;não;ROQUE;2070.927721
2074;RDA;não;ROQUE;216.1719935
2095;RDA;não;FORTUNA;1613.358818
2101;RDA;não;Imperatrix;490.3953947
2102;RDA;não;Imperatrix;850.8781987
3011;RDA;sim;Carauari Riozinho;1347.303981
3012;RDA;sim;Carauari Riozinho;954.6719109
3013;RDA;sim;Carauari Riozinho;1021.066296
3014;RDA;sim;Carauari Riozinho;949.3186637
3025;RDA;sim;J;614.5210442
3033;RDA;sim;L;893.9411611
3034;RDA;sim;L;526.168179
3035;RDA;sim;L;973.8839813
3041;RDA;sim;Carauari pe da terra;31.86667906
3051;RDA;sim;I;529.5249298
3052;RDA;sim;I;880.723955
3053;RDA;sim;I;1754.114001
3054;RDA;sim;I;969.5323139
3071;RDA;não;Xibauazinho;276.901489
3072;RDA;não;Xibauazinho;674.3233871
3073;RDA;não;Xibauazinho;978.5829048
3091;RDA;não;Carocal;511.5828582
3092;RDA;não;Carocal;748.0232033
3093;RDA;não;Carocal;945.8438386
3094;RDA;não;Carocal;1032.32526
4011;RDA;não;Sao Jose (Anaxiqui);689.1807869
4012;RDA;não;Sao Jose (Anaxiqui);8.863481512
4014;RDA;não;Sao Jose (Anaxiqui);815.4489158
4015;RDA;não;Sao Jose (Anaxiqui);155.2484021
4024;RDA;não;B;1241.252337
4035;RDA;não;X;486.0636083
4041;RDA;não;C;592.5103096
4042;RDA;não;C;305.3031292
5011;RDA;não;Sororoca;766.770174
5012;RDA;não;Sororoca;557.5449639
5014;RDA;não;Sororoca;1543.313982
5015;RDA;não;Sororoca;239.4509552
5021;RDA;não;Sororoca;731.039931
5022;RDA;não;Sororoca;876.4293075
5023;RDA;não;Sororoca;1502.99009
5024;RDA;não;Sororoca;87.34998667
5025;RDA;não;Sororoca;237.9410952
5031;RDA;não;Matura;185.2249588
5034;RDA;não;Matura;935.0690862
5035;RDA;não;Matura;1010.494809
5041;RDA;não;Matura;1453.250416
5042;RDA;não;Matura;699.6865631
5043;RDA;não;Matura;415.3895568
5044;RDA;não;Matura;836.2207016
5052;RDA;não;FORTUNA;916.0771209
5064;RDA;não;ROQUE;916.5139572
5074;RDA;não;Pupuai;360.7544476
5075;RDA;não;Pupuai;1485.081167
5091;RDA;sim;H;886.8885678
5092;RDA;sim;H;629.1391227
6011;RDA;sim;I;1281.336306
6013;RDA;sim;I;1242.444686
6021;RDA;não;Bareira do ido;1057.75961
6031;RDA;não;BAUANA;246.9180339
6033;RDA;não;BAUANA;17.30311391
6034;RDA;não;BAUANA;914.9025056
6041;RDA;não;6041;976.8945752
7014;RDU;sim;sao jose do uatuma;1126.369132
7021;RDU;sim;M;984.6823811
7022;RDU;sim;M;1317.773394
7031;RDU;sim;macacaboi;1152.66854
7032;RDU;sim;macacaboi;537.7269594
7033;RDU;sim;macacaboi;726.2210548
7051;RDU;não;N;1687.448037
7052;RDU;não;N;1627.984483
7053;RDU;não;N;782.062575
7054;RDU;não;N;491.3078655
7063;RDU;não;flechal;202.8732187
7071;RDU;não;R;1286.950263
7072;RDU;não;R;1268.360068
7073;RDU;não;R;919.1253489
7074;RDU;não;R;34.45318225
7075;RDU;não;R;228.2434809
7081;RDU;não;livramento;978.7606835
7091;RDU;não;sao francisco_1;1004.833735
7093;RDU;não;sao francisco_1;489.5187541
8011;RDU;sim;sao jao batista;792.4344789
8012;RDU;sim;sao jao batista;497.4248797
8021;RDU;sim;serra do bacabal;310.949579
8022;RDU;sim;serra do bacabal;32.56185298
8031;RDU;sim;do arara;1152.206346
8032;RDU;sim;do arara;583.7144713
8034;RDU;sim;do arara;1071.651999
8035;RDU;sim;do arara;621.0203751
8041;RDU;não;P;942.2547214
8043;RDU;não;P;944.4123123
8051;RDU;não;nossa sra de fatima;1032.341178
8052;RDU;não;nossa sra de fatima;688.4371645
8084;RDU;sim;Q;128.1961382
8094;RDU;sim;sao francisco_2;52.36775252
ALE-T1-C1-288;Riozinho_Liberdade;não;Alegria_2;1729.953035
ALE-T1-C2-850;Riozinho_Liberdade;não;Alegria_2;1752.88856
ALE-T1-C3-2550;Riozinho_Liberdade;não;Alegria_2;1316.104639
ALE-T1-C4-4800;Riozinho_Liberdade;não;Alegria_2;1443.76327
ALE-T1-C5-5900;Riozinho_Liberdade;não;Alegria_2;1425.050597
ALE-T2-C1-850;Riozinho_Liberdade;não;Alegria;604.3927929
ALE-T2-C2-1500;Riozinho_Liberdade;não;Alegria;1023.261284
ALE-T2-C3-2800;Riozinho_Liberdade;não;Alegria;1465.901899
ALE-T2-C4-4200;Riozinho_Liberdade;não;Alegria;1868.03959
ALE-T2-C5-6180;Riozinho_Liberdade;não;Alegria;1555.63552
BEB-T1-C4-3800;Arapixi;sim;Bebé;296.1429665
BEB-T1-C5-5400;Arapixi;sim;Bebé;680.8096896
BJS-T2-C1-750;Médio Purus;sim;Bom Jesus;178.2111582
C1-T1-C1-330;Cazumbá-iracema;sim;Providência;705.21497
C1-T1-C2-2000;Riozinho_Liberdade;sim;Santa Rita;644.1143466
C1-T1-C2-830;Cazumbá-iracema;sim;Providência;482.9235689
C1-T1-C3-2950;Riozinho_Liberdade;sim;Santa Rita;1067.150662
C1-T1-C4-2600;Cazumbá-iracema;sim;Providência;164.6959593
C1-T1-C5-6000;Cazumbá-iracema;sim;Providência;769.9397106
C1-T1-C5-6005;Riozinho_Liberdade;sim;Santa Rita;707.0220002
C1-T2-C1-1600;Riozinho_Liberdade;sim;Santa Rita_2;961.0591168
C1-T2-C1-600;Cazumbá-iracema;sim;Providência;520.712162
C1-T2-C2-2240;Riozinho_Liberdade;sim;Santa Rita_2;828.0806646
C1-T2-C3-2000;Cazumbá-iracema;sim;Providência;878.3699899
C1-T2-C3-3140;Riozinho_Liberdade;sim;Santa Rita_2;860.7022701
C1-T2-C4-3400;Cazumbá-iracema;sim;Providência;358.3826363
C1-T2-C4-4400;Riozinho_Liberdade;sim;Santa Rita_2;1291.125014
C1-T2-C5-6500;Cazumbá-iracema;sim;Providência;1449.00336
C1-T3-C1-1370;Cazumbá-iracema;sim;Providência;937.6668622
C1-T3-C2-2000;Cazumbá-iracema;sim;Providência;670.6040143
C1-T4-C3-3070;Cazumbá-iracema;sim;Providência;1364.586761
C1-T4-C4-4280;Cazumbá-iracema;sim;Providência;619.9973421
C1-T4-C5-5700;Cazumbá-iracema;sim;Providência;454.3030277
C2-T1-C1-1900;Riozinho_Liberdade;sim;São João;1163.704895
C2-T1-C2-2500;Riozinho_Liberdade;sim;São João;770.5754432
C2-T1-C3-3400;Riozinho_Liberdade;sim;São João;326.11697
C2-T2-C1-2300;Riozinho_Liberdade;sim;São João_2;517.4198676
C2-T2-C1-950;Cazumbá-iracema;sim;Lua Nova;1113.417536
C2-T2-C2-1500;Cazumbá-iracema;sim;Lua Nova;1010.202517
C2-T2-C3-2500;Cazumbá-iracema;sim;Lua Nova;1257.157686
C2-T2-C3-3700;Riozinho_Liberdade;sim;São João_2;260.4996471
C2-T2-C4-4000;Cazumbá-iracema;sim;Lua Nova;2365.88628
C2-T2-C5-6005;Riozinho_Liberdade;sim;São João_2;696.8026493
C2-T3-C1-1000;Cazumbá-iracema;sim;Lua Nova;673.2317499
C2-T3-C1-700;Riozinho_Liberdade;sim;São João;362.3098702
C2-T3-C2-1300;Riozinho_Liberdade;sim;São João;845.6121996
C2-T3-C2-1600;Cazumbá-iracema;sim;Lua Nova;120.6322854
C2-T3-C3-2330;Riozinho_Liberdade;sim;São João;656.9577842
C2-T3-C3-2500;Cazumbá-iracema;sim;Lua Nova;1385.268002
C2-T3-C4-3800;Cazumbá-iracema;sim;Lua Nova;845.1551752
C2-T3-C5-5100;Cazumbá-iracema;sim;Lua Nova;1014.060917
C2-T4-C1-1050;Cazumbá-iracema;sim;Panela;901.6202062
C2-T4-C2-1500;Cazumbá-iracema;sim;Panela;947.4201483
C2-T4-C3-2500;Cazumbá-iracema;sim;Panela;1608.592893
C2-T4-C4-4000;Cazumbá-iracema;sim;Panela;2038.257303
C2-T4-C5-6320;Cazumbá-iracema;sim;Panela;976.2741458
C3-T1-C1-1500;Riozinho_Liberdade;sim;São José;574.1956763
