camera_id;X;Y;NN
1012;-67.2696;-5.4492;574.1599149
1013;-67.2651;-5.45281;644.1477418
1014;-67.252;-5.4654;2008.94885
1015;-67.2317;-5.4801;2773.49543
1021;-67.3389;-5.52628;298.1052434
1022;-67.3374;-5.52405;298.1052434
1023;-67.3326;-5.51992;698.694594
1024;-67.3193;-5.50813;1962.215792
1025;-67.2995;-5.50343;2260.36303
1031;-67.2112;-5.39064;298.0799315
1032;-67.2104;-5.39321;298.0799315
1033;-67.2073;-5.3983;657.6561641
1034;-67.1981;-5.41371;1987.4998
1035;-67.1818;-5.43507;2975.387175
1041;-67.1915;-5.38452;326.7856971
1042;-67.1886;-5.38412;326.7856971
1043;-67.1834;-5.38103;661.1728125
1044;-67.1653;-5.38008;2019.074103
1045;-67.1382;-5.37875;2998.107748
1051;-67.4445;-5.31544;404.0311134
1052;-67.4482;-5.31547;404.0311134
1053;-67.454;-5.31607;649.2440652
1054;-67.4722;-5.31615;2015.735223
1061;-67.5375;-5.40957;279.1805795
1062;-67.54;-5.4094;279.1805795
1063;-67.546;-5.4084;674.255625
1064;-67.5551;-5.40093;565.1709434
1065;-67.5534;-5.39612;565.1709434
2011;-66.8165;-5.06748;310.4573804
2012;-66.8137;-5.06785;310.4573804
2013;-66.8084;-5.06825;594.2641256
2014;-66.79;-5.06927;2034.819193
2015;-66.7677;-5.07078;2481.040384
2021;-66.868;-5.13419;293.1927554
2022;-66.8673;-5.13674;293.1927554
2023;-66.8651;-5.1436;795.5281665
2024;-66.8543;-5.15661;1870.911487
2031;-67.1229;-5.05682;280.0609159
2032;-67.1254;-5.05642;280.0609159
2033;-67.1267;-5.04874;860.5347009
2034;-67.1323;-5.03187;1118.488033
2035;-67.1154;-5.00363;3426.141516
2041;-67.1351;-5.04786;271.313281
2042;-67.1363;-5.04572;271.313281
2043;-67.1383;-5.03997;675.8749097
2044;-67.1422;-5.02251;1509.188074
2051;-67.1668;-5.06142;324.7300572
2052;-67.1682;-5.05882;324.7300572
2053;-67.1726;-5.05479;662.4960462
2054;-67.185;-5.04194;1974.631823
2055;-67.1964;-5.01587;2088.1069
2061;-67.2143;-5.0661;322.9539323
2062;-67.2125;-5.0638;322.9539323
2063;-67.2085;-5.05938;656.5222503
2064;-67.2107;-5.03969;2190.708721
2065;-67.2149;-5.01241;2088.1069
2071;-67.2262;-5.08912;274.374878
2072;-67.2272;-5.09138;274.374878
2073;-67.2301;-5.09654;655.1133819
2074;-67.2406;-5.11108;1985.946109
2081;-67.3525;-5.21839;277.0901916
2082;-67.355;-5.218;277.0901916
2083;-67.3606;-5.21943;638.5651191
2084;-67.3793;-5.22275;2102.402466
2091;-67.3174;-5.15176;316.9877927
2092;-67.3199;-5.15325;316.9877927
2093;-67.3258;-5.15394;658.4568508
2094;-67.3434;-5.15702;1982.084697
2095;-67.3648;-5.15591;2376.505981
2101;-67.1793;-5.3352;217.4477394
2102;-67.1775;-5.33587;217.4477394
3011;-66.981;-4.75535;281.3225733
3012;-66.9834;-4.75477;281.3225733
3013;-66.9893;-4.75338;673.2360764
3014;-67.0067;-4.74877;1996.000725
3015;-67.0312;-4.73739;2990.832612
3021;-66.942;-4.80285;282.6394904
3022;-66.9402;-4.80114;282.6394904
3023;-66.937;-4.79658;616.475494
3024;-66.9266;-4.78178;1998.75019
3025;-66.9096;-4.76022;3044.058818
3031;-66.9685;-4.8384;292.6934813
3032;-66.9709;-4.83954;292.6934813
3033;-66.9776;-4.83936;738.2539803
3034;-66.9954;-4.84387;2040.53178
3035;-67.0214;-4.84826;2925.957706
3041;-66.9847;-4.92446;292.617205
3042;-66.9868;-4.92291;292.617205
3043;-66.9909;-4.91903;622.4780782
3044;-67.0065;-4.90854;2081.856578
3045;-67.0277;-4.89195;2984.702103
3051;-66.8541;-4.78423;309.2509861
3052;-66.8536;-4.78148;309.2509861
3053;-66.8531;-4.77542;671.2479137
3054;-66.8478;-4.75791;2023.560927
3055;-66.8421;-4.73195;2939.670701
3061;-67.881;-6.01267;310.0674656
3062;-67.8829;-6.01064;310.0674656
3063;-67.8878;-6.01837;978.2937526
3064;-67.8989;-6.03302;2037.19756
3065;-67.9109;-6.05181;2464.625032
3071;-67.7551;-5.97241;312.9426641
3072;-67.7523;-5.97277;312.9426641
3073;-67.7467;-5.97266;617.0344448
3074;-67.7284;-5.97278;2028.205316
3075;-67.7015;-5.9682;3023.024544
3081;-67.865;-5.88993;316.0402284
3082;-67.8665;-5.8875;316.0402284
3083;-67.8707;-5.88285;696.4637668
3084;-67.8776;-5.86607;2004.896855
3085;-67.8877;-5.84162;2925.843491
3091;-67.7339;-5.75853;316.9547237
3092;-67.7313;-5.7597;316.9547237
3093;-67.7251;-5.76316;786.6919861
3094;-67.7113;-5.7806;2457.625159
4011;-67.8782;-5.69859;322.6485788
4012;-67.8795;-5.69601;322.6485788
4013;-67.8837;-5.69221;623.5967404
4014;-67.8989;-5.68193;2034.250725
4015;-67.9208;-5.66606;2988.224459
